"Description"	"Symbole"	"Titre"	"Sous-catégorie"	"Type"	"Acheteur"	"Vendeur"	"Clôture"	"Devise prix"	"Région"	"Non rachetable"	"Montant subséquent"	"Montant initial"	"Intérêt"	"Instrument financier"	"Fréquence"	"Échéance"	"Dividende"	"Date de dividende"	"Bourse"	"RM (%)"	"Rend. éché. - Marché (%)"
"ROYCE VALUE TRUST INC"	"RVT"	"593203"	"Actions ordinaires"	"3308015"	"10,640"	"10,660"	"10,640"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,320"	"2009/03/04"	"NYS"	"12,03"	""
"ROYCEFIELD RES LTD"	""	"593204"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""
"ROYSTER-CLARK LTD/ULC-ID*"	"ROY.UN"	"591034"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"12"	""	"0,096"	"2006/02/24"	"TSE"	"n/d"	""
"RPM INTL INC (DEL)"	"RPM"	"565590"	"Actions ordinaires"	"315"	"19,830"	"19,850"	"19,870"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,205"	"2010/01/13"	"NYS"	"4,13"	""
"RSB CUQ 11% JULY01-JAN 11"	""	"N22774"	"Obligations d'épargne retraite"	"2601411"	"135,500"	"135,500"	"135,500"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2011/01/23"	"0,000"	""	""	"n/d"	"0,000000"
"RSB MTL 10.75%AP02-OC2011"	""	"N22772"	"Obligations d'épargne retraite"	"2601411"	"0,000"	"137,625"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2011/10/02"	"0,000"	""	""	"n/d"	"0,000000"
"RSB MTL 12% JUNE01-DEC10"	""	"N10261"	"Obligations d'épargne retraite"	"2601411"	"64,212"	"64,212"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2010/12/13"	"0,000"	""	""	"n/d"	"0,000000"
"RSB OH 11% OCT06-OCT2020"	""	"N22286"	"Obligations d'épargne retraite"	"2601365"	"111,251"	"111,251"	"111,251"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2020/10/01"	"0,000"	""	""	"n/d"	"0,000000"
"RSB OH 11% OCT96-OCT2020"	""	"N22276"	"Obligations d'épargne retraite"	"2601365"	"125,527"	"125,527"	"125,527"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2020/10/01"	"0,000"	""	""	"n/d"	"0,000000"
"RSB PR ONT 12% FB00-FB24"	""	"N22401"	"Obligations d'épargne retraite"	"2601361"	"173,100"	"173,100"	"173,100"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"12,000"	"Obligation"	"2"	"2024/02/07"	"0,000"	""	""	"6,93"	"4,787214"
"RSB PR ONT 12% FB01-FB24"	""	"N22402"	"Obligations d'épargne retraite"	"2601361"	"173,100"	"173,100"	"173,100"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"12,000"	"Obligation"	"2"	"2024/02/07"	"0,000"	""	""	"6,93"	"4,787214"
"RSB PR ONT 12% FB16-FB24"	""	"N22417"	"Obligations d'épargne retraite"	"2601361"	"56,252"	"56,252"	"56,252"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2024/02/07"	"0,000"	""	""	"n/d"	"0,000000"
"RSB PR ONT 12% FB99-FB24"	""	"N22400"	"Obligations d'épargne retraite"	"2601361"	"173,100"	"173,100"	"173,100"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"12,000"	"Obligation"	"2"	"2024/02/07"	"0,000"	""	""	"6,93"	"4,787214"
"RSB QH 11% FEB00-AUG 2020"	""	"N22757"	"Obligations d'épargne retraite"	"2601385"	"41,563"	"41,563"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2020/08/15"	"0,000"	""	""	"n/d"	"0,000000"
"RSB QH 11% FEB01-AUG 2020"	""	"N22758"	"Obligations d'épargne retraite"	"2601385"	"153,500"	"153,500"	"153,500"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"11,000"	"Obligation"	"2"	"2020/08/15"	"0,000"	""	""	"7,17"	"4,558325"
"RSB QH 11% FEB02-AUG 2020"	""	"N22759"	"Obligations d'épargne retraite"	"2601385"	"147,478"	"147,478"	"147,478"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2020/08/15"	"0,000"	""	""	"n/d"	"0,000000"
"RSB QH 11% FEB03-AUG 2020"	""	"N22760"	"Obligations d'épargne retraite"	"2601385"	"142,780"	"142,780"	"142,780"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2020/08/15"	"0,000"	""	""	"n/d"	"0,000000"
"RSB QH 11% FEB04-AUG 2020"	""	"N22761"	"Obligations d'épargne retraite"	"2601385"	"132,479"	"132,479"	"132,479"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2020/08/15"	"0,000"	""	""	"n/d"	"0,000000"
"RSB QH 11% FEB96-AUG 2020"	""	"N22753"	"Obligations d'épargne retraite"	"2601385"	"115,403"	"115,403"	"115,403"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2020/08/15"	"0,000"	""	""	"n/d"	"0,000000"
"RSB QH 11% FEB97-AUG 2020"	""	"N22754"	"Obligations d'épargne retraite"	"2601385"	"54,780"	"54,780"	"54,780"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2020/08/15"	"0,000"	""	""	"n/d"	"0,000000"
"RSB QUE PROV 12%JA09-JA23"	""	"N22520"	"Obligations d'épargne retraite"	"2601381"	"97,852"	"97,852"	"97,852"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2023/01/16"	"0,000"	""	""	"n/d"	"0,000000"
"RSB.OH 11% APR06-OCT 20"	""	"N00451"	"Obligations d'épargne retraite"	"2601365"	"115,457"	"115,457"	"115,457"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2020/10/01"	"0,000"	""	""	"n/d"	"0,000000"
"RT CAPITAL ICS 4.6%20JN15"	""	"Q42234"	"Obligations municipales & para-gouvernementales"	"2601411"	"105,189"	"105,189"	"105,189"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,600"	"Obligation"	"2"	"2015/06/20"	"0,000"	""	""	"4,37"	"3,535527"
"RT CAPITAL ICS3.35%16AV11"	""	"Q42264"	"Obligations municipales & para-gouvernementales"	"2601411"	"101,933"	"101,933"	"101,933"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"3,350"	"Obligation"	"2"	"2011/04/16"	"0,000"	""	""	"3,29"	"1,743565"
"RT CAPITAL ICS3.75%19DC10"	""	"Q42239"	"Obligations municipales & para-gouvernementales"	"2601411"	"101,993"	"101,993"	"101,993"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"3,750"	"Obligation"	"2"	"2010/12/19"	"0,000"	""	""	"3,68"	"1,506815"
"RT CAPITAL ICS5.05%13MI19"	""	"Q42272"	"Obligations municipales & para-gouvernementales"	"2601411"	"103,509"	"103,509"	"103,509"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"5,050"	"Obligation"	"2"	"2019/05/13"	"0,000"	""	""	"4,88"	"4,581392"
"RT PETROLEUM INC"	"RTPT"	"565957"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NAS"	"n/d"	""
"RTEU DEUX-MO BM 4% 5DC10"	""	"Q76915"	"Obligations municipales & para-gouvernementales"	"2601411"	"101,440"	"101,440"	"101,440"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,000"	"Obligation"	"2"	"2010/12/05"	"0,000"	""	""	"3,94"	"2,296465"
"RTEU DEUX-MOBM4.35%17FV14"	""	"Q76987"	"Obligations municipales & para-gouvernementales"	"2601411"	"102,417"	"102,417"	"102,417"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,350"	"Obligation"	"2"	"2014/02/17"	"0,000"	""	""	"4,25"	"3,703107"
"RTS-AMER NATURAL 20AUG04"	""	"834145"	"Autres titres"	"520"	"0,000"	"0,000"	"0,000"	"USD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Autre"	"0"	"2004/08/20"	"0,000"	""	""	"n/d"	""
"RTS-IMPERIAL METALS11FB03"	""	"835679"	"Options"	"520"	"0,000"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Option"	"0"	"2003/02/11"	"0,000"	""	""	"n/d"	""
"RTS-SEMCAN INC 11FEB10"	"STT.RT"	"834432"	"Droits de souscription"	"520"	"0,010"	"0,000"	"0,010"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	"2010/02/11"	"0,000"	""	"TNX"	"n/d"	""
"RTS-TELESP CEL PAR 7AUG02"	""	"835592"	"Droits de souscription"	"5208000"	"0,000"	"0,000"	"0,000"	"USD"	"ZZ"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	"2002/08/07"	"0,000"	""	""	"n/d"	""
"RUBBERMAID INC *"	""	"593400"	"Actions ordinaires"	"330"	"36,625"	"36,625"	"36,625"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,160"	""	""	"1,75"	""
"RUSSEL METALS INC"	"RUS"	"593769"	"Actions ordinaires"	"315"	"18,000"	"18,160"	"18,140"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,250"	"2009/11/19"	"TSE"	"5,51"	""
"RV DU LOUP ICS4.25%18DC12"	""	"Q63949"	"Obligations municipales & para-gouvernementales"	"2601411"	"104,579"	"104,579"	"104,579"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,250"	"Obligation"	"2"	"2012/12/18"	"0,000"	""	""	"4,06"	"2,597368"
"RWE AG ORD SPONS ADR"	"RWEOY"	"565556"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"93,600"	"USD"	"DE"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"5,850"	"2009/04/20"	"NAS"	"n/d"	""
"RYANAIR HLDG PLC ADR"	"RYAAY"	"594524"	"Actions ordinaires"	"3158000"	"26,890"	"26,910"	"26,920"	"USD"	"ZZ"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"2,000"	"2007/02/21"	"NAS"	"n/d"	""
"RYDEX S&P EQUAL WGHT ETF"	"RSP"	"511997"	"Actions ordinaires"	"315"	"39,120"	"39,150"	"39,160"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,126"	"2009/12/18"	"ASE"	"1,29"	""
"RYL BK CDA 4.5%-AD 1ST PF"	"RY.PR.D"	"591230"	"Actions privilégiées perpétuelles à taux fixe"	"310"	"20,600"	"20,650"	"20,680"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,281"	"2010/01/22"	"TSE"	"5,44"	""
"RYL BK CDA 4.5%-AE 1ST PF"	"RY.PR.E"	"591146"	"Actions privilégiées perpétuelles à taux fixe"	"310"	"20,500"	"20,520"	"20,520"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,281"	"2010/01/22"	"TSE"	"5,48"	""
"RYL BK CDA 4.5%-AG 1ST PF"	"RY.PR.G"	"591240"	"Actions privilégiées perpétuelles à taux fixe"	"310"	"20,630"	"20,840"	"20,860"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,281"	"2010/01/22"	"TSE"	"5,39"	""
"RYL BK CDA 4.6%-AC 1ST PF"	"RY.PR.C"	"591180"	"Actions privilégiées perpétuelles à taux fixe"	"310"	"20,870"	"20,940"	"20,940"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,288"	"2010/01/22"	"TSE"	"5,49"	""
"RYL BK CDA 4.7%-AB 1ST PF"	"RY.PR.B"	"591226"	"Actions privilégiées perpétuelles à taux fixe"	"310"	"21,500"	"21,580"	"21,500"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,294"	"2010/01/22"	"TSE"	"5,47"	""
"RYL BK CDA 5%-AJ 1ST PFD"	"RY.PR.I"	"591267"	"Actions privilégiées"	"310"	"26,310"	"26,400"	"26,320"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,313"	"2010/01/22"	"TSE"	"4,75"	""
"RYL BK CDA6.25%-AN 1ST PF"	"RY.PR.N"	"591272"	"Actions privilégiées"	"310"	"27,750"	"27,950"	"27,950"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,391"	"2010/01/22"	"TSE"	"5,59"	""
"RYL BK CDA6.25%-AP 1ST PF"	"RY.PR.P"	"591273"	"Actions privilégiées"	"310"	"27,800"	"27,820"	"27,800"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,391"	"2010/01/22"	"TSE"	"5,62"	""
"RYL BK CDA6.25%-AR 1ST PF"	"RY.PR.R"	"591275"	"Actions privilégiées"	"310"	"27,500"	"27,940"	"27,500"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,391"	"2010/01/22"	"TSE"	"5,68"	""
"RYL BK CDA6.25%-AT 1ST PF"	"RY.PR.T"	"591276"	"Actions privilégiées"	"310"	"27,750"	"27,840"	"27,840"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,391"	"2010/01/22"	"TSE"	"5,61"	""
"RYL BK CDA6.25%-AV 1ST PF"	"RY.PR.X"	"591187"	"Actions privilégiées"	"310"	"27,900"	"27,940"	"27,940"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,391"	"2010/01/22"	"TSE"	"5,59"	""
"S SPLIT CORP PFD"	"SBN.PR.A"	"595075"	"Actions privilégiées"	"3108005"	"10,100"	"10,150"	"10,100"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"12"	""	"0,044"	"2010/01/13"	"TSE"	"5,20"	""
"S.C.H.L. C-012 4.1% 1OC15"	""	"A25017"	"Obligations du gouvernement du Canada"	"2601155"	"106,070"	"106,070"	"106,070"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,100"	"Obligation"	"2"	"2015/10/01"	"0,000"	""	""	"3,87"	"2,931683"
"S.T. 3-RIV ICS 3.95%9AV13"	""	"Q42957"	"Obligations municipales & para-gouvernementales"	"2601411"	"103,662"	"103,662"	"103,662"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"3,950"	"Obligation"	"2"	"2013/04/09"	"0,000"	""	""	"3,81"	"2,746875"
"S.T. MTL ICS 5% 24OC10"	""	"Q49822"	"Obligations municipales & para-gouvernementales"	"2601411"	"102,733"	"102,733"	"102,733"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"5,000"	"Obligation"	"2"	"2010/10/24"	"0,000"	""	""	"4,87"	"1,296738"
"S.T. MTL ICS 4.2% 24OC07"	""	"Q49819"	"Obligations municipales & para-gouvernementales"	"2601411"	"99,995"	"99,995"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,200"	"Obligation"	"2"	"2007/10/24"	"0,000"	""	""	"4,20"	"0,000000"
"S.T. MTL ICS 5.15% 24OC11"	""	"Q49823"	"Obligations municipales & para-gouvernementales"	"2601411"	"105,455"	"105,455"	"105,455"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"5,150"	"Obligation"	"2"	"2011/10/24"	"0,000"	""	""	"4,88"	"1,952417"
"S.T.C.U.M. 8.1% 18JL06"	""	"Q49717"	"Obligations municipales & para-gouvernementales"	"2601411"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"8,100"	"Obligation"	"2"	"2006/07/18"	"0,000"	""	""	"8,10"	"0,000000"
"S.T.C.U.M. 8.75% 30SP07"	""	"Q49656"	"Obligations municipales & para-gouvernementales"	"2601411"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"8,750"	"Obligation"	"2"	"2007/09/30"	"0,000"	""	""	"8,75"	"0,000000"
"S.T.C.U.M. ICS 5.4% 8AV09"	""	"Q49663"	"Obligations municipales & para-gouvernementales"	"2601411"	"100,019"	"100,019"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"5,400"	"Obligation"	"2"	"2009/04/08"	"0,000"	""	""	"5,40"	"0,000000"
"S.T.C.U.M. ICS 5.5%15NV09"	""	"Q49782"	"Obligations municipales & para-gouvernementales"	"2601411"	"100,002"	"100,002"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"5,500"	"Obligation"	"2"	"2009/11/15"	"0,000"	""	""	"5,50"	"0,000000"
"S.T.C.U.M. ICS 6.6%16FV06"	""	"Q49748"	"Obligations municipales & para-gouvernementales"	"2601411"	"99,981"	"99,981"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"6,600"	"Obligation"	"2"	"2006/02/16"	"0,000"	""	""	"6,60"	"0,000000"
"S.T.L. ICS 3.2% 26FV10"	""	"Q42949"	"Obligations municipales & para-gouvernementales"	"2601411"	"100,169"	"100,169"	"100,169"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"3,200"	"Obligation"	"2"	"2010/02/26"	"0,000"	""	""	"3,19"	"1,238044"
"S.T.M. ICS 4.5% 27AV14"	""	"Q49920"	"Obligations municipales & para-gouvernementales"	"2601411"	"105,271"	"105,271"	"105,271"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,500"	"Obligation"	"2"	"2014/04/27"	"0,000"	""	""	"4,27"	"3,164415"
"S.T.M. ICS 4.6% 27AV15"	""	"Q49921"	"Obligations municipales & para-gouvernementales"	"2601411"	"105,263"	"105,263"	"105,263"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,600"	"Obligation"	"2"	"2015/04/27"	"0,000"	""	""	"4,37"	"3,493558"
"S.T.M. ICS 3.75% 27AV10"	""	"Q49904"	"Obligations municipales & para-gouvernementales"	"2601411"	"100,696"	"100,696"	"100,696"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"3,750"	"Obligation"	"2"	"2010/04/27"	"0,000"	""	""	"3,72"	"0,980348"
"S.T.M. ICS 5.00% 6MI10"	""	"Q49832"	"Obligations municipales & para-gouvernementales"	"2601411"	"101,116"	"101,116"	"101,116"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"5,000"	"Obligation"	"2"	"2010/05/06"	"0,000"	""	""	"4,94"	"0,978350"
"S.T.M. ICS 4% 8NV10"	""	"Q49957"	"Obligations municipales & para-gouvernementales"	"2601411"	"102,066"	"102,066"	"102,066"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,000"	"Obligation"	"2"	"2010/11/08"	"0,000"	""	""	"3,92"	"1,341761"
"S.T.M. ICS 5% 1DC19"	""	"Q50034"	"Obligations municipales & para-gouvernementales"	"2601411"	"102,486"	"102,486"	"102,486"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"5,000"	"Obligation"	"2"	"2019/12/01"	"0,000"	""	""	"4,88"	"4,681272"
"S.T.O. ICS 4% 15AV13"	""	"Q53814"	"Obligations municipales & para-gouvernementales"	"2601411"	"103,811"	"103,811"	"103,811"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,000"	"Obligation"	"2"	"2013/04/15"	"0,000"	""	""	"3,85"	"2,753902"
"S.T.O. ICS 3.2% 7AV14"	""	"Q53819"	"Obligations municipales & para-gouvernementales"	"2601411"	"100,219"	"100,219"	"100,219"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"3,200"	"Obligation"	"2"	"2014/04/07"	"0,000"	""	""	"3,19"	"3,143140"
"S.T.O. ICS 3.7% 15AV12"	""	"Q53813"	"Obligations municipales & para-gouvernementales"	"2601411"	"103,275"	"103,275"	"103,275"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"3,700"	"Obligation"	"2"	"2012/04/15"	"0,000"	""	""	"3,58"	"2,179483"
"S.T.O. ICS 2.85% 15AV09"	""	"Q53810"	"Obligations municipales & para-gouvernementales"	"2601411"	"100,009"	"100,009"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"2,850"	"Obligation"	"2"	"2009/04/15"	"0,000"	""	""	"2,85"	"0,000000"
"S.T.O. ICS 4.65% 18SP17"	""	"Q53805"	"Obligations municipales & para-gouvernementales"	"2601411"	"102,994"	"102,994"	"102,994"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,650"	"Obligation"	"2"	"2017/09/18"	"0,000"	""	""	"4,51"	"4,187464"
"S.T.O. ICS 4.05% 21SP15"	""	"Q49938"	"Obligations municipales & para-gouvernementales"	"2601411"	"102,235"	"102,235"	"102,235"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,050"	"Obligation"	"2"	"2015/09/21"	"0,000"	""	""	"3,96"	"3,608564"
"S.T.R.S.M. 7.6% 8JL04"	""	"Q48229"	"Obligations municipales & para-gouvernementales"	"2601411"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"7,600"	"Obligation"	"2"	"2004/07/08"	"0,000"	""	""	"7,60"	"0,000000"
"S.T.V.L. ICS 6% 23AV10"	""	"Q42658"	"Obligations municipales & para-gouvernementales"	"2601411"	"101,190"	"101,190"	"101,190"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"6,000"	"Obligation"	"2"	"2010/04/23"	"0,000"	""	""	"5,93"	"1,048991"
"S.T.V.L. ICS 4.3% 30MR13"	""	"Q42861"	"Obligations municipales & para-gouvernementales"	"2601411"	"104,725"	"104,725"	"104,725"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,300"	"Obligation"	"2"	"2013/03/30"	"0,000"	""	""	"4,11"	"2,735833"
"S.T.V.L. ICS 4.45% 30MR14"	""	"Q42862"	"Obligations municipales & para-gouvernementales"	"2601411"	"105,097"	"105,097"	"105,097"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,450"	"Obligation"	"2"	"2014/03/30"	"0,000"	""	""	"4,23"	"3,137431"
"S.T.V.L. ICS 4.55% 13JA11"	""	"Q49913"	"Obligations municipales & para-gouvernementales"	"2601411"	"102,807"	"102,807"	"102,807"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,550"	"Obligation"	"2"	"2011/01/13"	"0,000"	""	""	"4,43"	"1,611806"
"S/C FLOW THRU (2002-1)LPU"	""	"458788"	"Actions ordinaires"	"3308002"	"25,000"	"25,000"	"25,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""
"S/C RES CDA DOMINION 200*"	""	"108619"	"Actions ordinaires"	"3308002"	"0,000"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""
"S/C RESS NCE 1997"	""	"458857"	"Actions ordinaires"	"3308002"	"0,000"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""
"SABMILLER PLC SPONS ADR"	"SBMRY"	"594977"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"27,270"	"USD"	"GB"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"2"	""	"0,165"	"2009/12/02"	"NAS"	"1,21"	""
"SAFEGUARD SCIENTIFIC-NEW"	"SFE"	"594794"	"Actions ordinaires"	"330"	"11,030"	"11,060"	"11,030"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,034"	"2003/11/26"	"NYS"	"n/d"	""
"SAFEGUARD SCIENTIFICS IN*"	"SFE"	"594721"	"Actions ordinaires"	"330"	"1,730"	"1,740"	"1,740"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,000"	""	"NYS"	"0,00"	""
"SAFESKIN CORP*"	""	"594755"	"Actions ordinaires"	"315"	"11,937"	"11,937"	"11,937"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	"2000/02/10"	""	"n/d"	""
"SAFEWAY INC"	"SWY"	"594788"	"Actions ordinaires"	"315"	"22,580"	"22,590"	"22,600"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,100"	"2009/12/22"	"NYS"	"1,77"	""
"SAGUENAY ICS 4% 27FV10"	""	"Q60153"	"Obligations municipales & para-gouvernementales"	"2601411"	"100,237"	"100,237"	"100,237"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,000"	"Obligation"	"2"	"2010/02/27"	"0,000"	""	""	"3,99"	"1,332071"
"SAGUENAY ICS 4.3% 7MR14"	""	"Q60098"	"Obligations municipales & para-gouvernementales"	"2601411"	"104,534"	"104,534"	"104,534"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,300"	"Obligation"	"2"	"2014/03/07"	"0,000"	""	""	"4,11"	"3,116243"
"SAGUENAY ICS 3.55% 2MR10"	""	"Q60073"	"Obligations municipales & para-gouvernementales"	"2601411"	"100,253"	"100,253"	"100,253"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"3,550"	"Obligation"	"2"	"2010/03/02"	"0,000"	""	""	"3,54"	"0,989373"
"SAGUENAY ICS 4% 26AV11"	""	"Q60084"	"Obligations municipales & para-gouvernementales"	"2601411"	"102,757"	"102,757"	"102,757"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,000"	"Obligation"	"2"	"2011/04/26"	"0,000"	""	""	"3,89"	"1,758608"
"SAGUENAY ICS 4.1% 28DC12"	""	"Q60137"	"Obligations municipales & para-gouvernementales"	"2601411"	"104,154"	"104,154"	"104,154"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,100"	"Obligation"	"2"	"2012/12/28"	"0,000"	""	""	"3,94"	"2,614029"
"SAGUENAY ICS 4.1% 30AV13"	""	"Q60195"	"Obligations municipales & para-gouvernementales"	"2601411"	"104,114"	"104,114"	"104,114"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,100"	"Obligation"	"2"	"2013/04/30"	"0,000"	""	""	"3,94"	"2,770719"
"SAGUENAY ICS 4.2% 28DC13"	""	"Q60138"	"Obligations municipales & para-gouvernementales"	"2601411"	"104,238"	"104,238"	"104,238"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,200"	"Obligation"	"2"	"2013/12/28"	"0,000"	""	""	"4,03"	"3,045159"
