Description	Symbol	Security	Subcategory	Type	Bid	Ask	Close	Cur. Price	yo	Saxo	locomotive	Livre A	coucou	cheval A	CHECKBOX	Subsequent Amount	Region	Non-redeemable	Maturity	Market	Interest	Initial Amount	Frequency	Financial Instrument	Dividend Date	Dividend	MY (%)	YTM - Market (%)	Exclude from Billing
ST LAMBERT BEO5.95%19DC11		Q67253	Municipal & Para-governmental Bonds	2601411	107.292	107.292	107.292	CAD								n/a	CA	No	12/19/2011		5.95	n/a	2	Bond		0	5.55	2.014255	No
ST LAURENT BEO5.95%19DC11		Q66959	Municipal & Para-governmental Bonds	2601411	107.292	107.292	107.292	CAD								n/a	CA	No	12/19/2011		5.95	n/a	2	Bond		0	5.55	2.014255	No
ST PACOME BEO 3.5% 9DC11		Q69435	Municipal & Para-governmental Bonds	2601411	102.752	102.752	102.752	CAD								n/a	CA	No	12/09/2011		3.5	n/a	2	Bond		0	3.41	1.993211	No
ST PATRICE BEO2.25%14OC12		Q69811	Municipal & Para-governmental Bonds	2601411	99.392	99.392	99.392	CAD								n/a	CA	No	10/14/2012		2.25	n/a	2	Bond		0	2.26	2.482136	No
ST PRIME MN 4.15% 10FB11		Q68867	Municipal & Para-governmental Bonds	2601411	101.629	101.629	101.629	CAD								n/a	CA	No	02/10/2011		4.15	n/a	2	Bond		0	4.08	2.556974	No
ST SAUVEUR MN 3.75% 1MR10		Q66656	Municipal & Para-governmental Bonds	2601411	100.201	100.201	100.201	CAD								n/a	CA	No	03/01/2010		3.75	n/a	2	Bond		0	3.74	1.642935	No
ST THOMAS BEO 4.05% 7MR13		Q71727	Municipal & Para-governmental Bonds	2601411	103.975	103.975	103.975	CAD								n/a	CA	No	03/07/2013		4.05	n/a	2	Bond		0	3.9	2.709173	No
ST ZEPHIRIN MN 4.75%9DC13		J37080	Municipal & Para-governmental Bonds	2601421	104.057	104.057	104.057	CAD								n/a	CA	No	12/09/2013		4.75	n/a	2	Bond		0	4.56	3.616282	No
ST- CHARL-B BEO 4% 28NV11		Q66046	Municipal & Para-governmental Bonds	2601411	103.623	103.623	103.623	CAD								n/a	CA	No	11/28/2011		4	n/a	2	Bond		0	3.86	1.983646	No
ST-ADOLPHE MN 4.15%24NV11		Q68099	Municipal & Para-governmental Bonds	2601411	102.62	102.62	102.62	CAD								n/a	CA	No	11/24/2011		4.15	n/a	2	Bond		0	4.04	2.67075	No
ST-ALEXI-M MN 4.65%27JN11		J30199	Municipal & Para-governmental Bonds	2601421	102.819	102.819	102.819	CAD								n/a	CA	No	06/27/2011		4.65	n/a	2	Bond		0	4.52	2.613783	No
ST-CESAIRE MN 4.25%27MY13		Q69248	Municipal & Para-governmental Bonds	2601411	102.761	102.761	102.761	CAD								n/a	CA	No	05/27/2013		4.25	n/a	2	Bond		0	4.14	3.36708	No
ST-CHARL-B BEO 3.5%28OC11		Q66140	Municipal & Para-governmental Bonds	2601411	102.662	102.662	102.662	CAD								n/a	CA	No	10/28/2011		3.5	n/a	2	Bond		0	3.41	1.94892	No
ST-EUSEBE MN 4.75% 27DC12		J27685	Municipal & Para-governmental Bonds	2601421	104.368	104.368	104.368	CAD								n/a	CA	No	12/27/2012		4.75	n/a	2	Bond		0	4.55	3.171229	No
ST-FELIX-D MN 4.1% 7DC11		Q65617	Municipal & Para-governmental Bonds	2601411	102.573	102.573	102.573	CAD								n/a	CA	No	12/07/2011		4.1	n/a	2	Bond		0	4	2.675272	No
ST-JEAN-R BEO 4.2% 29JN15		Q67332	Municipal & Para-governmental Bonds	2601411	103.215	103.215	103.215	CAD								n/a	CA	No	06/29/2015		4.2	n/a	2	Bond		0	4.07	3.542994	No
ST-JEAN-RI BEO 3% 16JN13		Q69712	Municipal & Para-governmental Bonds	2601411	100.572	100.572	100.572	CAD								n/a	CA	No	06/16/2013		3	n/a	2	Bond		0	2.98	2.82133	No
ST-JEAN-RI BEO 4.4%29DC15		Q67772	Municipal & Para-governmental Bonds	2601411	103.768	103.768	103.768	CAD								n/a	CA	No	12/29/2015		4.4	n/a	2	Bond		0	4.24	3.685873	No
ST-JEAN-RI BEO2.25%22DC12		Q70120	Municipal & Para-governmental Bonds	2601411	99.028	99.028	99.028	CAD								n/a	CA	No	12/22/2012		2.25	n/a	2	Bond		0	2.27	2.598973	No
ST-JEAN-RI BEO3.55%16JN14		Q69713	Municipal & Para-governmental Bonds	2601411	101.381	101.381	101.381	CAD								n/a	CA	No	06/16/2014		3.55	n/a	2	Bond		0	3.5	3.209638	No
ST-JEROME BEO 4.25%17OC16		Q66861	Municipal & Para-governmental Bonds	2601411	101.886	101.886	101.886	CAD								n/a	CA	No	10/17/2016		4.25	n/a	2	Bond		0	4.17	3.927301	No
ST-LIN-LAU MN 4.75%18NV13		Q69417	Municipal & Para-governmental Bonds	2601411	104.092	104.092	104.092	CAD								n/a	CA	No	11/18/2013		4.75	n/a	2	Bond		0	4.56	3.590462	No
ST-MARC-RI BEO 3% 28OC10		Q69384	Municipal & Para-governmental Bonds	2601411	101.278	101.278	101.278	CAD								n/a	CA	No	10/28/2010		3	n/a	2	Bond		0	2.96	1.293043	No
ST-MATHIAS MN 4.25% 2MR14		Q69619	Municipal & Para-governmental Bonds	2601411	101.999	101.999	101.999	CAD								n/a	CA	No	03/02/2014		4.25	n/a	2	Bond		0	4.17	3.718919	No
ST-MICHE-B BEO4.05%28FB11		Q68872	Municipal & Para-governmental Bonds	2601411	102.536	102.536	102.536	CAD								n/a	CA	No	02/28/2011		4.05	n/a	2	Bond		0	3.95	1.695893	No
ST-MICHEL-B MN4.05%16JA12		Q68914	Municipal & Para-governmental Bonds	2601411	102.595	102.595	102.595	CAD								n/a	CA	No	01/16/2012		4.05	n/a	2	Bond		0	3.95	2.691779	No
ST-PIE-GUIR MN 4.7%16DC13		J35103	Municipal & Para-governmental Bonds	2601421	103.864	103.864	103.864	CAD								n/a	CA	No	12/16/2013		4.7	n/a	2	Bond		0	4.53	3.625066	No
ST-PIERRE-B MN 4% 12DC11		Q68730	Municipal & Para-governmental Bonds	2601411	102.405	102.405	102.405	CAD								n/a	CA	No	12/12/2011		4	n/a	2	Bond		0	3.91	2.677791	No
ST-SAUVEUR MN 2% 28JL10		Q70791	Municipal & Para-governmental Bonds	2601411	100.18	100.18	100.18	CAD								n/a	CA	No	07/28/2010		2	n/a	2	Bond		0	2	1.637053	No
ST-STANIS-K BEO1.5%25AG11		Q70797	Municipal & Para-governmental Bonds	2601411	99.423	99.423	99.423	CAD								n/a	CA	No	08/25/2011		1.5	n/a	2	Bond		0	1.51	1.871023	No
ST-STANIS-KBEO3.25%25AG14		Q70800	Municipal & Para-governmental Bonds	2601411	99.893	99.893	99.893	CAD								n/a	CA	No	08/25/2014		3.25	n/a	2	Bond		0	3.25	3.274889	No
ST-THARCIS MN 4.3% 15MY12		J36566	Municipal & Para-governmental Bonds	2601421	103.208	103.208	103.208	CAD								n/a	CA	No	05/15/2012		4.3	n/a	2	Bond		0	4.17	2.849818	No
ST-URB-P BEO 1.2% 22SP10		Q49754	Municipal & Para-governmental Bonds	2601411	100.045	100.045	100.045	CAD								n/a	CA	No	09/22/2010		1.2	n/a	2	Bond		0	1.2	1.130262	No
ST-URB-P BEO 1.5% 22SP11		Q49755	Municipal & Para-governmental Bonds	2601411	99.347	99.347	99.347	CAD								n/a	CA	No	09/22/2011		1.5	n/a	2	Bond		0	1.51	1.902283	No
ST-URBAIN MN 4.25% 20FB12		J40619	Municipal & Para-governmental Bonds	2601421	103.039	103.039	103.039	CAD								n/a	CA	No	02/20/2012		4.25	n/a	2	Bond		0	4.12	2.729614	No
ST.PAUL TRAVELERS COS IN*	STA	597401	Common Stock	315	52.7	53.1	52.9	USD								n/a	US	No		NYS	0	n/a	4	Equity	12/06/2006	0.26	1.97		No
STACKPAL INTL INC *		629958	Common Stock	330	2.177	2.177	2.177	CAD								n/a	CA	No		T	0	n/a	0	Equity		0	n/a		No
STAMPS.COM INC	STMP	630689	Common Stock	315	8.95	8.98	8.95	USD								n/a	US	No		NAS	0	n/a	0	Equity		0	n/a		No
STANDARD BANK GRP UNS/ADR	SBGOY	631255	Common Stock	3308000	0	0	28.05	USD								n/a	ZZ	No		NAS	0	n/a	0	Equity	09/16/2009	0.374	n/a		No
STANDARD CHART US$ 0.50	SCBFF	631269	Common Stock	330	24.825	24.825	24.825	CAD								n/a	GB	No		NAS	0	n/a	2	Equity	08/12/2009	0.236	2.01		No
STANDARD LIFE PLC 10P	SLFPF	631266	Common Stock	330	3.462	3.462	3.462	CAD								n/a	GB	No		NAS	0	n/a	2	Equity	08/12/2009	0.046	2.66		No
STANLEY TECHNOLOGY GROUP	STG	635812	Common Stock	330	11.85	11.85	11.85	CAD								n/a	CA	No		T	0	n/a	0	Equity		0	n/a		No
STANLEY WORKS	SWK	635839	Common Stock	315	53.84	53.87	53.82	USD								n/a	US	No		NYS	0	n/a	4	Equity	12/02/2009	0.33	2.45		No
STANTEC INC	STN	636198	Common Stock	330	27.85	28.1	27.96	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
STAPLES INC	SPLS	636432	Common Stock	315	24	24.02	24.02	USD								n/a	US	No		NAS	0	n/a	0	Equity	12/21/2009	0.083	n/a		No
STAR NAVIGATION SYS GROUP	SNA	636644	Common Stock	330	0.19	0.2	0.2	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
STAR TELECOMMUNICATNS INC	STRXQ	636661	Common Stock	330	0.001	0.001	0.001	USD								n/a	US	No		NAS	0	n/a	0	Equity		0	n/a		No
STARBUCKS CORP	SBUX	637284	Common Stock	315	22.39	22.4	22.4	USD								n/a	US	No		NAS	0	n/a	0	Equity		0	n/a		No
STARFIELD RES INC	SRU	636492	Common Stock	330	0.095	0.1	0.095	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
STARLIMS TECHNOLOGIES LTD	LIMS	636674	Common Stock	330	8.6	9.4	9.389	USD								n/a	ZZ	No		NAS	0	n/a	0	Equity	04/03/2009	0.33	n/a		No
STARONT TECHNOLOGIES INC	XEV.H	637358	Common Stock	330	0	0	0	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
STARPOINT ENERGY T/U-TEMP		845510	Trust Units	3308001	23.95	24	24	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
STARPOINT GOLDFIELDS INC	SPSMF	636910	Common Stock	330	0	0	0	CAD								n/a	CA	No		NAS	0	n/a	0	Equity		0	n/a		No
STARWOOD HTLS&RESORTS	HOT	637340	Common Stock	3158008	35.94	35.97	35.98	USD								n/a	US	No		NYS	0	n/a	1	Equity	12/29/2009	0.2	0.56		No
STATE STREET CORP	STT	637425	Common Stock	315	43.95	43.96	43.94	USD								n/a	US	No		NYS	0	n/a	4	Equity	12/30/2009	0.01	0.09		No
STATOIL ASA ADR	STO	637349	Common Stock	3158000	23.27	23.29	23.26	USD								n/a	ZZ	No		NYS	0	n/a	0	Equity	05/20/2009	0.692	n/a		No
STD&POOR DEP REC 'SPDRS'	SPY	594671	Exchange-Traded Funds: Stocks	315	109.75	109.77	109.78	USD								n/a	US	No		ASE	0	n/a	4	Equity	12/18/2009	0.59	2.15		No
STE AGATHE BEO 4% 28DC11		Q67599	Municipal & Para-governmental Bonds	2601411	103.722	103.722	103.722	CAD								n/a	CA	No	12/28/2011		4	n/a	2	Bond		0	3.86	2.016359	No
STE ANN BE BEO 4.1%30MR11		Q67915	Municipal & Para-governmental Bonds	2601411	102.746	102.746	102.746	CAD								n/a	CA	No	03/30/2011		4.1	n/a	2	Bond		0	3.99	1.730875	No
STE CATHER MN 5% 12NV13		Q65704	Municipal & Para-governmental Bonds	2601411	104.982	104.982	104.982	CAD								n/a	CA	No	11/12/2013		5	n/a	2	Bond		0	4.76	3.58292	No
STE FOY BEO 6.3% 25AP10		Q65669	Municipal & Para-governmental Bonds	2601411	101.289	101.289	101.289	CAD								n/a	CA	No	04/25/2010		6.3	n/a	2	Bond		0	6.22	1.056277	No
STE MARIE BEO 2.5% 28AP12		Q82899	Municipal & Para-governmental Bonds	2601411	100.661	100.661	100.661	CAD								n/a	CA	No	04/28/2012		2.5	n/a	2	Bond		0	2.48	2.19723	No
STE THERESE BEO 4% 27SP11		Q71380	Municipal & Para-governmental Bonds	2601411	103.399	103.399	103.399	CAD								n/a	CA	No	09/27/2011		4	n/a	2	Bond		0	3.87	1.919001	No
STE URSULE MN 4.15% 7FB11		J37045	Municipal & Para-governmental Bonds	2601421	101.617	101.617	101.617	CAD								n/a	CA	No	02/07/2011		4.15	n/a	2	Bond		0	4.08	2.556597	No
STE-ANNE-P BEO 3.1% 1DC14		Q70719	Municipal & Para-governmental Bonds	2601411	98.814	98.814	98.814	CAD								n/a	CA	No	12/01/2014		3.1	n/a	2	Bond		0	3.14	3.366532	No
STE-BRIGID MN 4% 9SP12		Q63190	Municipal & Para-governmental Bonds	2601411	102.46	102.46	102.46	CAD								n/a	CA	No	09/09/2012		4	n/a	2	Bond		0	3.9	3.014917	No
STE-JULIE BEO 4.4% 1NV16		Q68036	Municipal & Para-governmental Bonds	2601411	102.706	102.706	102.706	CAD								n/a	CA	No	11/01/2016		4.4	n/a	2	Bond		0	4.28	3.939534	No
STE-JULIEN BEO4.35%19JN12		Q67069	Municipal & Para-governmental Bonds	2601411	104.777	104.777	104.777	CAD								n/a	CA	No	06/19/2012		4.35	n/a	2	Bond		0	4.15	2.290754	No
STE-MARG-LM MN4.85%27JN12		Q47744	Municipal & Para-governmental Bonds	2601411	104.495	104.495	104.495	CAD								n/a	CA	No	06/27/2012		4.85	n/a	2	Bond		0	4.64	2.912104	No
STE-MARIE BEO 3.25% 2JL10		Q70079	Municipal & Para-governmental Bonds	2601411	101.007	101.007	101.007	CAD								n/a	CA	No	07/02/2010		3.25	n/a	2	Bond		0	3.22	0.931519	No
STE-MELANIE MN 4.3% 1NV11		Q61308	Municipal & Para-governmental Bonds	2601411	102.802	102.802	102.802	CAD								n/a	CA	No	11/01/2011		4.3	n/a	2	Bond		0	4.18	2.662439	No
STE-PERPETUE MN3.4%19JA15		J34776	Municipal & Para-governmental Bonds	2601421	100	100	100	CAD								n/a	CA	No	01/19/2015		3.4	n/a	2	Bond		0	3.4	3.399899	No
STE-THERESEBEO 4.1%29AP13		Q71405	Municipal & Para-governmental Bonds	2601411	104.116	104.116	104.116	CAD								n/a	CA	No	04/29/2013		4.1	n/a	2	Bond		0	3.94	2.769042	No
STEAK N SHAKE CO *	SNS	637628	Common Stock	330	14.55	14.56	14.55	USD								n/a	US	No		NYS	0	n/a	0	Equity		0	n/a		No
STEEL DYNAMICS INC	STLD	637966	Common Stock	315	16.28	16.3	16.3	USD								n/a	US	No		NAS	0	n/a	4	Equity	12/29/2009	0.075	1.84		No
STEEPLEJACK INDL GRP INC*	SID	638960	Common Stock	330	11.48	11.5	11.5	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
STELCO INC SER-A CONV	STE.A	638023	Common Stock	330	0	0	0	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
STEPAN CO	SCL	639559	Common Stock	330	37.26	37.44	37.27	USD								n/a	US	No		NYS	0	n/a	4	Equity	02/25/2009	0.22	2.36		No
STEPHENSON'S RENTAL-A T/*	RNT.UN	639598	Trust Units	3308001	6.86	6.88	6.86	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	06/28/2007	0.092	0		No
STERLING CENTRECORP INC *	SCF	639636	Common Stock	330	1.21	1.3	1.21	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
STERLING RESOURCES LTD	SLG	639748	Common Stock	330	1.83	1.84	1.83	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
STERLING SOFTWARE INC *		639830	Common Stock	330	35	35	35	USD								n/a	US	No			0	n/a	0	Equity	04/12/2000	0	n/a		No
STEWART ENTERPRISES INC	STEI	640256	Common Stock	315	4.98	4.99	4.99	USD								n/a	US	No		NAS	0	n/a	4	Equity	01/12/2010	0.03	2.4		No
STMICROELECTRONICS N.V.	STM	594758	Common Stock	315	8.45	8.46	8.45	USD								n/a	ZZ	No		NYS	0	n/a	0	Equity	11/23/2009	0.03	n/a		No
STN INC	STHIF	594722	Common Stock	330	0	0	0	CAD								n/a	CA	No		NAS	0	n/a	0	Equity		0	n/a		No
STONE AGRIBUSINESS FD T/U	HAY.UN	640550	Trust Units	3308001	6.08	6.25	6.09	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
STONE CONTAINER CORP *		640466	Common Stock	330	7.125	7.125	0	USD								n/a	US	No			0	n/a	4	Equity		0.15	8.42		No
STONE DIV GWTH /LL/N	SCL518	950802	Dividend Funds	3807725	7.541	7.541	7.541	CAD								n/a	CA	No			0	n/a	12	Mutual Fund	12/31/2009	0.014	2.29		No
STONE/TEWK BEO 4% 9MR10		Q46450	Municipal & Para-governmental Bonds	2601411	100.354	100.354	100.354	CAD								n/a	CA	No	03/09/2010		4	n/a	2	Bond		0	3.99	1.001006	No
STONEBRIDGE INC		640513	Common Stock	330	0	0	0	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
STONERIDGE INC	SRI	640507	Common Stock	315	7.57	7.58	7.58	USD								n/a	US	No		NYS	0	n/a	0	Equity		0	n/a		No
STORA ENSO OYJ-ADR	SEOAY	640613	Common Stock	3308000	0	0	6.32	USD								n/a	ZZ	No		NAS	0	n/a	0	Equity	07/29/2009	0.282	n/a		No
STORNOWAY DIAMOND CORP	SWY	640700	Common Stock	330	0.61	0.62	0.61	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
STRAT PETROLEUM LTD	SPRL	642213	Common Stock	330	0	0	0	USD								n/a	US	No		NAS	0	n/a	0	Equity		0	n/a		No
STRATEGIC ALLIANCE GP *	SGCA	642135	Common Stock	330	0	0	0.58	USD								n/a	US	No		XY	0	n/a	0	Equity	08/11/2004	0	n/a		No
STRATEGIC ALLIANCE GRP *	STGE	641174	Common Stock	330	0	0	0.002	USD								n/a	US	No		XY	0	n/a	0	Equity	10/31/2003	0	n/a		No
STRATEGYWEB COMM INC		640892	Common Stock	330	0	0	0	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
STRATOS GLOBAL CORP *	SGB	641387	Common Stock	330	6.99	7.05	7	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
STRATTEC SECURITY CORP	STRT	641393	Common Stock	330	40.66	42.45	41	USD								n/a	US	No		XY	0	n/a	0	Equity		0	n/a		No
STREAM COMM NETWK & MEDIA	SCNWF	642191	Common Stock	330	0.027	0.05	0.027	USD								n/a	CA	No		NAS	0	n/a	0	Equity		0	n/a		No
STREAM COMMUNS NTWK&MEDI*		641641	Common Stock	330	0.7	0.79	0.7	USD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
STREETTRACKS INDX SH FND*	FEZ	642181	Exchange-Traded Funds: Stocks	3158007	57.264	57.264	0	USD								n/a	ZZ	No		NYS	0	n/a	4	Equity	06/15/2007	1.219	8.51		No
STREETTRACKS INDX SH FND*	FEU	642180	Exchange-Traded Funds: Stocks	330	50.68	51.54	50.68	USD								n/a	ZZ	No		NYS	0	n/a	4	Equity	06/15/2007	0.759	5.99		No
STRIDE RITE CORP	SRR	641555	Common Stock	330	20.49	20.5	20.49	USD								n/a	US	No		NYS	0	n/a	4	Equity	05/25/2007	0.07	1.37		No
STRIP BASKET H		844083	Investment Funds	3807999	0	0	0	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
STRONGCO INC *	SQP	641603	Common Stock	330	16.25	0	0	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	02/24/2005	0.05	1.23		No
STRONGCO INCOME FUND T/U	SQP.UN	642243	Trust Units	3308001	3.9	4.54	4	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	07/29/2008	0.1	30		No
STRYKER CORP	SYK	642890	Common Stock	315	54.45	54.46	54.44	USD								n/a	US	No		NYS	0	n/a	4	Equity	12/28/2009	0.15	1.1		No
STUART ENERGY SYS CORP	HHO	641972	Common Stock	330	3.75	3.83	3.75	CAD								n/a	CA	No		T	0	n/a	0	Equity		0	n/a		No
STUDENT TRANS OF AMER-IPS	STB.UN	642508	Common Stock	3308005	0	0	7.386	USD								n/a	CA	No		TSE	0	n/a	12	Equity	10/29/2009	0.091	14.01		No
STUDENT TRANSPORT OF AME*	STB	642511	Common Stock	3308005	0	0	0	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	10/28/2009	0.046	n/a		No
STUDNT TRANS CV7.5%31OC14	STB.DB.A	W91546	Bonds (other)	2756000	104	106	103	CAD								n/a	CA	No	10/31/2014	TSE	7.5	n/a	1	Bond		0	7.28	6.655285	No
STUDNT TRNS CV 7.5%31OC1*	STB.DB.A	W91545	Bonds (other)	2756000	102.01	102.95	102.95	CAD								n/a	CA	No	10/31/2014	TSE	7.5	n/a	1	Bond		0	7.29	6.668854	No
STYLE-CRAFT PRINTING (91)		642908	Common Stock	330	"1,250.00"	"1,250.00"	"1,250.00"	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
SU CROIS MDL S/N	CIG7615	994136	Global Equity Funds	3807500	7.88	7.88	7.88	CAD								n/a	CA	No			0	n/a	0	Mutual Fund	10/15/2002	0	n/a		No
SUB REC-ALBERTA CLIPPER *	ACN.R	836142	Miscellaneous	330	0	0	4.04	CAD								n/a	CA	No		TSE	0	n/a	4	Other		0.09	0		No
SUB REC-BAYTEX ENERGY T/*	BTE.R	837798	Trust Units	3308001	21	21.2	21.02	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
SUB REC-BONAVISTA EGY T/*		837202	Trust Units	3308001	0	0	0	CAD								n/a	CA	No	06/30/2010		0	n/a	0	Equity		0	n/a		No
SUB REC-CCS INCOME T/U *	CCR.R	837510	Trust Units	3308001	0	0	37.95	CAD								n/a	CA	No		TSE	0	n/a	0	Equity	05/03/2006	0.135	n/a		No
SUB REC-CLEAN PWR INCM FD		836785	Miscellaneous	330	10.25	0	0	CAD								n/a	CA	No			0	n/a	0	Other		0	n/a		No
SUB REC-COLABOR IN/FD T/*	CLB.R	837713	Trust Units	3308001	8.71	8.75	8.71	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
SUB REC-COMINAR REIT *	CUF.R	837772	Trust Units	3308001	0	0	23.98	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
SUB REC-ENERPLUS RS TU *		837067	Trust Units	3308001	0	0	38	CAD								n/a	CA	No			0	n/a	0	Equity	07/01/2004	0	n/a		No
SUB REC-FORTIS INC *	FTS.R	836934	Miscellaneous	330	0	0	28.21	CAD								n/a	CA	No		TSE	0	n/a	0	Other		0	n/a		No
SUB REC-INTER PIPE-A LPU*		837091	Miscellaneous	3308002	7.55	7.56	7.55	CAD								n/a	CA	No			0	n/a	0	Other	08/02/2004	0	n/a		No
SUB REC-NAV ENERGY T/U	NVG.R	837187	Miscellaneous	330	10.125	0	0	CAD								n/a	CA	No		T	0	n/a	0	Other		0	n/a		No
SUB REC-NEW SLEEPER GOLD		836516	Miscellaneous	330	1	1	0	CAD								n/a	CA	No			0	n/a	0	Other		0	n/a		No
SUB REC-NORTHLAND PWR T/*	NPI.R	836626	Trust Units	3308001	14.77	14.88	14.8	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
SUB REC-PARAMOUNT EGY PA*	PMT.R	837287	Trust Units	3308001	16.16	16.4	16.34	CAD								n/a	CA	No		T	0	n/a	0	Equity		0	n/a		No
SUB REC-PROGRESS ENGY T/*	PGX.R	837752	Miscellaneous	3308001	0	0	13.5	CAD								n/a	CA	No		TSE	0	n/a	0	Other		0	n/a		No
SUB REC-PROVIDENT EGY T/*	PVE.R	837574	Trust Units	3308001	0	0	14.34	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
SUB REC-TRANSALTA PWR LP*	TPW.R	836586	Miscellaneous	3308002	9.46	9.49	9.48	CAD								n/a	CA	No		T	0	n/a	0	Other	07/30/2003	0	n/a		No
SUB REC-TRISTAR OIL & GA*	TOG.R	838163	Miscellaneous	330	11.86	12.04	12.95	CAD								n/a	CA	No		TSE	0	n/a	0	Other		0	n/a		No
SUB REC-YELLOW PAGES T/U*	YLO.R	837275	Trust Units	3308001	13.98	14.04	14.02	CAD								n/a	CA	No		T	0	n/a	0	Equity		0	n/a		No
SUB REC-ZARLINK 6%30SP12*	ZL.DB.R	X66899	Discount Bonds (other)	2756000	94.05	94.05	94.05	CAD								n/a	CA	No	09/30/2012	TSE	0	n/a	2	Bond		0	0	2.303324	No
SUB REC-ZARLINK SEMIC-DEB	ZL.DB.R	837853	Miscellaneous	330	"1,000.00"	"1,000.00"	"1,000.00"	CAD								n/a	CA	No		TSE	0	n/a	0	Other		0	n/a		No
SUEZ-ADR *	SZE	643600	Common Stock	3308000	0	0	71.09	USD								n/a	FR	No		NYS	0	n/a	0	Equity	07/16/2008	0	n/a		No
SUMITOMO METAL INDS S/ADR	SMMLY	644222	Common Stock	3308000	0	0	28.89	USD								n/a	ZZ	No		NAS	0	n/a	2	Equity	09/25/2009	0.286	1.98		No
SUMITOMO MITSUI FINL-ADR	SMFJY	644215	Common Stock	3308000	0	0	3.31	USD								n/a	ZZ	No		NAS	0	n/a	2	Equity	09/25/2009	0.05	3		No
SUMITOMO TRUST&BANKNG ADR	STBUY	644206	Common Stock	3308000	0	0	5.71	USD								n/a	ZZ	No		NAS	0	n/a	2	Equity	09/25/2009	0.057	2.01		No
SUMMIT CV CB 6.25% 31MR14	SMU.DB	W90804	Convertible Debentures	2756000	131.02	0	0	CAD								n/a	CA	No	03/31/2014	TSE	6.25	n/a	2	Bond		0	4.77	0	No
SUMNER SPORTS INC		644395	Common Stock	330	0	0	0	CAD								n/a	CA	No			0	n/a	0	Equity		0.14	n/a		No
SUMTOTAL SYSTEMS INC *	SUMT	644410	Common Stock	330	4.84	4.85	4.85	USD								n/a	US	No		NAS	0	n/a	0	Equity		0	n/a		No
SUN GRO HORTI INCM FD T/U	GRO.UN	645053	Trust Units	3308001	4.29	4.5	4.49	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	08/27/2008	0.038	10.02		No
SUN HUNG KAI PPTS -SP ADR	SUHJY	645091	Common Stock	3308000	0	0	13.5	USD								n/a	ZZ	No		NAS	0	n/a	2	Equity	11/20/2009	0.219	3.25		No
SUN LF C12 6.15%-FR30JN22		W91923	Corporate Bonds	2606000	108.445	108.445	108.445	CAD								n/a	CA	No	06/30/2022		6.15	n/a	2	Bond		0	5.67	5.217638	No
SUN LF FL-A-N/CM-1 PF PER	SLF.PR.A	644455	Fixed Rate Perpetual Preferred Shares	310	20.6	20.67	20.6	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	11/23/2009	0.297	5.76		No
SUN LF FL-A-N/CM-2 PF PER	SLF.PR.B	644456	Fixed Rate Perpetual Preferred Shares	310	20.63	20.74	20.66	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	11/23/2009	0.3	5.81		No
SUN LF FL-A-N/CM-4 PF PER	SLF.PR.D	644458	Fixed Rate Perpetual Preferred Shares	310	19.39	19.45	19.45	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	11/23/2009	0.278	5.72		No
SUN LF FL-A-N/CM-S3 PFD	SLF.PR.C	644457	Fixed Rate Perpetual Preferred Shares	310	19.39	19.44	19.39	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	11/23/2009	0.278	5.74		No
