"Description"	"Symbol"	"Security"	"Subcategory"	"Type"	"Bid"	"Ask"	"Close"	"Cur. Price"	"Subsequent Amount"	"Region"	"Non-redeemable"	"Maturity"	"Market"	"Interest"	"Initial Amount"	"Frequency"	"Financial Instrument"	"Dividend Date"	"Dividend"	"MY (%)"	"YTM - Market (%)"
"URANIUM 1 CV 4.25% 31DC11"	"UUU.DB"	"W71782"	"Bonds (other)"	"2756000"	"91.750"	"92.000"	"92.000"	"CAD"	"n/a"	"CA"	"No"	"12/31/2011"	"TSE"	"4.250"	"n/a"	"2"	"Bond"	""	"0.000"	"4.62"	"8.844510"
"URANIUM FOCUSED ENGY T/U"	"UF.UN"	"704367"	"Trust Units"	"3308001"	"3.220"	"3.280"	"3.240"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	"03/27/2008"	"0.125"	"n/a"	""
"URANIUM ONE INC"	"UUU"	"704389"	"Common Stock"	"315"	"3.380"	"3.390"	"3.390"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"URANIUM PARTICIPATION CRP"	"U"	"704272"	"Commodities"	"315"	"6.170"	"6.180"	"6.170"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Futures"	""	"0.000"	"n/a"	""
"URBAN OUTFITTERS INC"	"URBN"	"704306"	"Common Stock"	"315"	"31.120"	"31.150"	"31.120"	"USD"	"n/a"	"US"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"US AIRWAYS GROUP INC"	"LCC"	"699285"	"Common Stock"	"315"	"5.220"	"5.230"	"5.220"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"US DOLLAR"	"0USD"	"000009"	"Currencies"	""	"1.100"	"1.110"	"1.120"	"CAD"	"n/a"	"US"	"No"	""	""	"0.000"	"n/a"	"0"	"Currency"	""	"0.000"	"n/a"	""
"US GROW&INCM BASKT/N"	""	"844901"	"US Equity Funds"	"3807250"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Mutual Fund"	""	"0.000"	"n/a"	""
"US NATURAL GAS FUND LP"	"UNG"	"701061"	"Commodities"	"3158002"	"10.240"	"10.260"	"10.260"	"USD"	"n/a"	"ZZ"	"No"	""	"ASE"	"0.000"	"n/a"	"0"	"Futures"	""	"0.000"	"n/a"	""
"US TR INFL IX3.625%15AP28"	""	"A39459"	"International Bonds"	"2601211"	"165.930"	"165.930"	"165.930"	"USD"	"n/a"	"US"	"No"	"04/15/2028"	""	"3.625"	"n/a"	"2"	"Bond"	""	"0.000"	"2.18"	"0.004784"
"US TREAS BD 6% 15FB26"	""	"A39756"	"International Bonds"	"2601211"	"119.688"	"119.688"	"119.688"	"USD"	"n/a"	"US"	"No"	"02/15/2026"	""	"6.000"	"n/a"	"2"	"Bond"	""	"0.000"	"5.01"	"4.290514"
"US TREAS BILL 14AG08"	""	"A36663"	"Treasury Bills"	"2101210"	"100.000"	"100.000"	"0.000"	"USD"	"n/a"	"US"	"No"	"08/14/2008"	""	"0.000"	"n/a"	"0"	"Bond"	""	"0.000"	"n/a"	"0.000000"
"US TREAS BILL 24JA08"	""	"A36624"	"Treasury Bills"	"2101210"	"100.000"	"100.000"	"0.000"	"USD"	"n/a"	"US"	"No"	"01/24/2008"	""	"0.000"	"n/a"	"0"	"Bond"	""	"0.000"	"n/a"	"0.000000"
"US TREAS BILL 29MY08"	""	"A36652"	"Treasury Bills"	"2101210"	"100.000"	"100.000"	"0.000"	"USD"	"n/a"	"US"	"No"	"05/29/2008"	""	"0.000"	"n/a"	"0"	"Bond"	""	"0.000"	"n/a"	"0.000000"
"US TREAS BND 5.5% 15AG28"	""	"A45843"	"International Bonds"	"2601211"	"111.063"	"111.063"	"111.063"	"USD"	"n/a"	"US"	"No"	"08/15/2028"	""	"5.500"	"n/a"	"2"	"Bond"	""	"0.000"	"4.95"	"4.606466"
"US TREAS NT 1.875%15JL13"	""	"A40287"	"International Bonds"	"2601211"	"125.330"	"125.330"	"125.330"	"USD"	"n/a"	"US"	"No"	"07/15/2013"	""	"1.875"	"n/a"	"2"	"Bond"	""	"0.000"	"1.50"	"0.000000"
"US TREAS NT 2.75% 15FB19"	""	"A36754"	"Bonds (other)"	"2601211"	"93.813"	"93.813"	"93.813"	"USD"	"n/a"	"US"	"No"	"02/15/2019"	""	"2.750"	"n/a"	"2"	"Bond"	""	"0.000"	"2.93"	"3.554814"
"US TREAS NT 1.375% 15JL18"	""	"A36699"	"Bonds (other)"	"2601211"	"101.957"	"101.957"	"101.957"	"USD"	"n/a"	"US"	"No"	"07/15/2018"	""	"1.375"	"n/a"	"2"	"Bond"	""	"0.000"	"1.35"	"1.132094"
"USA VIDEO INTERACTIVE CRP"	"US"	"686453"	"Common Stock"	"330"	"0.045"	"0.050"	"0.045"	"USD"	"n/a"	"US"	"No"	""	"TSX"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"USG CORP"	"USG"	"686438"	"Common Stock"	"315"	"13.800"	"13.820"	"13.770"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	""	"0.000"	"0.00"	""
"USINAS SIDERURG MINAS ADR"	"USNZY"	"700215"	"Common Stock"	"3308000"	"25.493"	"25.493"	"25.493"	"USD"	"n/a"	"ZZ"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	"12/31/2009"	"0.367"	"n/a"	""
"UST INC"	"UST"	"686445"	"Common Stock"	"315"	"69.460"	"69.470"	"69.460"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"12/11/2008"	"0.630"	"0.00"	""
"UTD ACT AMER FD *"	""	"997759"	"US Equity Funds"	"3807250"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Mutual Fund"	""	"0.000"	"n/a"	""
"UTD TECHNOLOGIES CORP"	"UTX"	"701735"	"Common Stock"	"315"	"68.590"	"68.610"	"68.590"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"11/18/2009"	"0.385"	"2.25"	""
"UTILITY SPLIT TR T/U-CAP"	"UST.UN"	"704533"	"Miscellaneous"	"3308001"	"9.010"	"9.140"	"9.050"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"12"	"Other"	"01/27/2010"	"0.050"	"6.63"	""
"UTS ENERGY CORP"	"UTS"	"704503"	"Common Stock"	"315"	"2.410"	"2.450"	"2.450"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"V F CORP"	"VFC"	"708891"	"Common Stock"	"315"	"72.230"	"72.250"	"72.170"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"12/04/2009"	"0.600"	"3.33"	""
"VA SOFTWARE CORP *"	"LNUX"	"704662"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"USD"	"n/a"	"US"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VAALDIAM RES LTD"	"VAA"	"704644"	"Common Stock"	"330"	"0.025"	"0.030"	"0.030"	"CAD"	"n/a"	"CA"	"No"	""	"TSX"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VAL D'OR BEO 4.05% 6DC11"	""	"Q80814"	"Municipal & Para-governmental Bonds"	"2601411"	"103.741"	"103.741"	"103.741"	"CAD"	"n/a"	"CA"	"No"	"12/06/2011"	""	"4.050"	"n/a"	"2"	"Bond"	""	"0.000"	"3.90"	"1.992961"
"VAL D'OR BEO 4.25% 6DC13"	""	"Q80816"	"Municipal & Para-governmental Bonds"	"2601411"	"104.448"	"104.448"	"104.448"	"CAD"	"n/a"	"CA"	"No"	"12/06/2013"	""	"4.250"	"n/a"	"2"	"Bond"	""	"0.000"	"4.07"	"3.020435"
"VALASSIS COMMUNICATN INC"	"VCI"	"704677"	"Common Stock"	"315"	"20.140"	"20.160"	"20.160"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	""	"0.000"	"0.00"	""
"VALCOURT BEO 4% 23DC13"	""	"Q78851"	"Municipal & Para-governmental Bonds"	"2601411"	"103.515"	"103.515"	"103.515"	"CAD"	"n/a"	"CA"	"No"	"12/23/2013"	""	"4.000"	"n/a"	"2"	"Bond"	""	"0.000"	"3.86"	"3.038987"
"VALE S.A. ADR"	"VALE"	"761503"	"Miscellaneous"	"3158000"	"27.540"	"27.550"	"27.540"	"USD"	"n/a"	"ZZ"	"No"	""	"NYS"	"0.000"	"n/a"	"0"	"Other"	"10/16/2009"	"0.280"	"n/a"	""
"VALENCIA VENTURES INC"	"VVI"	"704744"	"Common Stock"	"330"	"0.170"	"0.175"	"0.165"	"CAD"	"n/a"	"CA"	"No"	""	"TSX"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VALERO ENERGY CORP"	"VLO"	"704733"	"Common Stock"	"315"	"18.350"	"18.360"	"18.350"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"11/06/2009"	"0.150"	"3.27"	""
"VALERT INC"	""	"704739"	"Common Stock"	"3308011"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VALIANT ENERGY INC *"	"VLE"	"704844"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VALMORIS CAPITAL INC"	"VMO.P"	"705208"	"Common Stock"	"330"	"0.400"	"0.500"	"0.400"	"CAD"	"n/a"	"CA"	"No"	""	"TSX"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VAN ECK ROBS HD ASSET T/U"	""	"706301"	"Trust Units"	"3308001"	"10.000"	"10.000"	"10.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VAN HOUTTE INC SV *"	"VH"	"706452"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"4"	"Equity"	"06/05/2007"	"0.250"	"n/a"	""
"VANGUARD CONS STAPLES ETF"	"VDC"	"706506"	"Exchange-Traded Funds: Stocks"	"315"	"65.340"	"65.420"	"65.386"	"USD"	"n/a"	"US"	"No"	""	"ASE"	"0.000"	"n/a"	"1"	"Equity"	"12/22/2009"	"1.738"	"2.66"	""
"VANGUARD DIV APPR ETF"	"VIG"	"706569"	"Common Stock"	"315"	"46.470"	"46.540"	"46.540"	"USD"	"n/a"	"US"	"No"	""	"ASE"	"0.000"	"n/a"	"4"	"Equity"	"12/22/2009"	"0.241"	"2.07"	""
"VANGUARD EMER MRKTS ETF"	"VWO"	"706560"	"Exchange-Traded Funds: Stocks"	"315"	"39.640"	"39.720"	"39.660"	"USD"	"n/a"	"ZZ"	"No"	""	"ASE"	"0.000"	"n/a"	"1"	"Equity"	"12/24/2009"	"0.545"	"1.37"	""
"VANGUARD EURO ETF"	"VGK"	"706558"	"Exchange-Traded Funds: Stocks"	"315"	"46.950"	"47.480"	"47.300"	"USD"	"n/a"	"ZZ"	"No"	""	"ASE"	"0.000"	"n/a"	"0"	"Equity"	"12/24/2009"	"1.912"	"n/a"	""
"VANGUARD FTSE ALL-WORLD"	"VEU"	"706553"	"Exchange-Traded Funds: Stocks"	"3158015"	"42.690"	"42.880"	"42.730"	"USD"	"n/a"	"ZZ"	"No"	""	"ASE"	"0.000"	"n/a"	"1"	"Equity"	"12/24/2009"	"0.863"	"2.02"	""
"VANGUARD INFO TECH ETF"	"VGT"	"706509"	"Exchange-Traded Funds: Stocks"	"315"	"52.630"	"52.650"	"52.630"	"USD"	"n/a"	"US"	"No"	""	"ASE"	"0.000"	"n/a"	"1"	"Equity"	"12/22/2009"	"0.250"	"0.48"	""
"VANGUARD OIL CORP *"	""	"706440"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	"05/28/2001"	"0.000"	"n/a"	""
"VANGUARD PACIFIC ETF"	"VPL"	"706559"	"Exchange-Traded Funds: Stocks"	"315"	"52.520"	"52.610"	"52.510"	"USD"	"n/a"	"ZZ"	"No"	""	"ASE"	"0.000"	"n/a"	"0"	"Equity"	"12/24/2009"	"1.421"	"n/a"	""
"VANGUARD WLD FDS REIT ETF"	"VNQ"	"706545"	"Common Stock"	"3158008"	"42.800"	"42.910"	"42.840"	"USD"	"n/a"	"US"	"No"	""	"ASE"	"0.000"	"n/a"	"4"	"Equity"	"12/24/2009"	"0.584"	"5.45"	""
"VANIER COL BEO 4.2%18JN09"	""	"H56407"	"Municipal & Para-governmental Bonds"	"2601421"	"100.014"	"100.014"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"06/18/2009"	""	"4.200"	"n/a"	"2"	"Bond"	""	"0.000"	"4.20"	"0.000000"
"VAQUERO ENERGY LTD *"	""	"706643"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VARENNES BEO 3.85% 9DC10"	""	"Q47639"	"Municipal & Para-governmental Bonds"	"2601411"	"102.052"	"102.052"	"102.052"	"CAD"	"n/a"	"CA"	"No"	"12/09/2010"	""	"3.850"	"n/a"	"2"	"Bond"	""	"0.000"	"3.77"	"1.468459"
"VARENNES MN 4% 15AP14"	""	"Q81575"	"Municipal & Para-governmental Bonds"	"2601411"	"100.876"	"100.876"	"100.876"	"CAD"	"n/a"	"CA"	"No"	"04/15/2014"	""	"4.000"	"n/a"	"2"	"Bond"	""	"0.000"	"3.97"	"3.772307"
"VARIAN ASSOCIATES INC *"	""	"706820"	"Common Stock"	"330"	"0.870"	"0.870"	"0.000"	"USD"	"n/a"	"US"	"No"	""	""	"0.000"	"n/a"	"4"	"Equity"	""	"0.100"	"45.98"	""
"VARIAN INC"	"VARI"	"706823"	"Common Stock"	"315"	"51.650"	"51.660"	"51.660"	"USD"	"n/a"	"US"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VARIAN MEDICAL SYS INC"	"VAR"	"706821"	"Common Stock"	"315"	"48.520"	"48.530"	"48.510"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VARIAN SEMICON EQU ASSOC"	"VSEA"	"706822"	"Common Stock"	"315"	"35.860"	"35.900"	"35.900"	"USD"	"n/a"	"US"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VASOGEN INC *"	"VAS"	"706862"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VASOGEN INC *"	"VAS"	"706871"	"Common Stock"	"315"	"0.275"	"0.290"	"0.275"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VAUDR-DOR BEO 4% 8DC11"	""	"Q47645"	"Municipal & Para-governmental Bonds"	"2601411"	"103.658"	"103.658"	"103.658"	"CAD"	"n/a"	"CA"	"No"	"12/08/2011"	""	"4.000"	"n/a"	"2"	"Bond"	""	"0.000"	"3.86"	"1.994389"
"VAUDR-DOR BEO 1.5% 29JL11"	""	"Q81896"	"Municipal & Para-governmental Bonds"	"2601411"	"99.492"	"99.492"	"99.492"	"CAD"	"n/a"	"CA"	"No"	"07/29/2011"	""	"1.500"	"n/a"	"2"	"Bond"	""	"0.000"	"1.51"	"1.842429"
"VAUDR-DOR BEO 2.3% 29JL12"	""	"Q81897"	"Municipal & Para-governmental Bonds"	"2601411"	"99.874"	"99.874"	"99.874"	"CAD"	"n/a"	"CA"	"No"	"07/29/2012"	""	"2.300"	"n/a"	"2"	"Bond"	""	"0.000"	"2.30"	"2.351913"
"VAUDR-DOR BEO 4.05% 8DC08"	""	"Q81205"	"Municipal & Para-governmental Bonds"	"2601411"	"100.010"	"100.010"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"12/08/2008"	""	"4.050"	"n/a"	"2"	"Bond"	""	"0.000"	"4.05"	"0.000000"
"VAUDR-DOR BEO 4.5% 25JL11"	""	"Q47689"	"Municipal & Para-governmental Bonds"	"2601411"	"103.896"	"103.896"	"103.896"	"CAD"	"n/a"	"CA"	"No"	"07/25/2011"	""	"4.500"	"n/a"	"2"	"Bond"	""	"0.000"	"4.33"	"1.854355"
"VAUDR-DOR BEO4.55% 18NV13"	""	"Q81894"	"Municipal & Para-governmental Bonds"	"2601411"	"105.540"	"105.540"	"105.540"	"CAD"	"n/a"	"CA"	"No"	"11/18/2013"	""	"4.550"	"n/a"	"2"	"Bond"	""	"0.000"	"4.31"	"3.000097"
"VAUDR/DOR BEO 4.15%12DC10"	""	"Q81804"	"Municipal & Para-governmental Bonds"	"2601411"	"102.320"	"102.320"	"102.320"	"CAD"	"n/a"	"CA"	"No"	"12/12/2010"	""	"4.150"	"n/a"	"2"	"Bond"	""	"0.000"	"4.06"	"1.482386"
"VAUDR/DOR BEO 4.3% 12DC12"	""	"Q81806"	"Municipal & Para-governmental Bonds"	"2601411"	"104.719"	"104.719"	"104.719"	"CAD"	"n/a"	"CA"	"No"	"12/12/2012"	""	"4.300"	"n/a"	"2"	"Bond"	""	"0.000"	"4.11"	"2.587651"
"VAULT ENERGY T/U *"	"VNG.UN"	"706966"	"Trust Units"	"3308001"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"12"	"Equity"	"12/27/2007"	"0.085"	"n/a"	""
"VAULT ENRGY CV7.2%31MY11*"	"VNG.DB.A"	"X30799"	"Convertible Debentures"	"2756000"	"100.520"	"100.520"	"100.520"	"CAD"	"n/a"	"CA"	"No"	"05/31/2011"	"TSE"	"7.200"	"n/a"	"2"	"Bond"	""	"0.000"	"7.16"	"6.779241"
"VCU GIC 1.65%AM 25MY09"	""	"Z92754"	"Term Deposits (Compound Interest)"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"05/25/2009"	""	"1.650"	"n/a"	"0"	"Bond"	""	"0.000"	"n/a"	"1.650000"
"VECTOR AEROSPACE CORP"	"RNO"	"706922"	"Common Stock"	"330"	"6.310"	"6.350"	"6.340"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VECTOR INTERMEDIARIES INC"	""	"706985"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VELAN INC SV"	"VLN"	"707040"	"Common Stock"	"330"	"15.210"	"15.480"	"15.250"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"4"	"Equity"	"12/11/2009"	"0.080"	"2.10"	""
"VELCRO INDUSTRIES N.V."	"VELC"	"707042"	"Common Stock"	"330"	"20.310"	"20.600"	"20.500"	"USD"	"n/a"	"ZZ"	"No"	""	"NAS"	"0.000"	"n/a"	"1"	"Equity"	"01/09/2009"	"0.200"	"0.98"	""
"VELVET EXPLORATION LTD *"	""	"707075"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VENCAP CAPITAL CORP *"	"VNCAF"	"707076"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"USD"	"n/a"	"US"	"No"	""	"XY"	"0.000"	"n/a"	"0"	"Equity"	"01/06/2004"	"0.000"	"n/a"	""
"VENDTEK SYSTEMS INC"	"VSI"	"707391"	"Common Stock"	"330"	"0.760"	"0.770"	"0.770"	"CAD"	"n/a"	"CA"	"No"	""	"TSX"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VENGA AEROSPACE SYS INC"	"VAV"	"707200"	"Common Stock"	"330"	"0.015"	"0.020"	"0.015"	"CAD"	"n/a"	"CA"	"No"	""	"TSX"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VENGOLD INC *"	""	"707183"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	"05/03/2000"	"0.000"	"n/a"	""
"VENGROWTH I(LSIF)D/N"	"VEN669"	"986983"	"Canadian Equity Funds"	"3807040"	"4.480"	"4.480"	"4.480"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"1"	"Mutual Fund"	""	"0.000"	"0.00"	""
"VENGROWTH II /D/N"	"VEN679"	"970793"	"Canadian Equity Funds"	"3807040"	"3.650"	"3.650"	"3.650"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Mutual Fund"	""	"0.000"	"n/a"	""
"VENGW INVST A-C /D/N"	"VEN662"	"930655"	"Canadian Equity Funds"	"3807040"	"4.120"	"4.120"	"4.120"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Mutual Fund"	""	"0.000"	"n/a"	""
"VENGWTH TRAD IND/D/N"	"VEN1599"	"923628"	"Canadian Bonds & Income Funds"	"3807040"	"8.120"	"8.120"	"8.120"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Mutual Fund"	""	"0.000"	"n/a"	""
"VENSTAR 2ND MTG INV-PFD"	""	"707201"	"Preferred Shares"	"3108009"	"1.000"	"1.000"	"1.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VENSTAR MRTG INV CP-PFD"	""	"707207"	"Preferred Shares"	"310"	"1.000"	"1.000"	"1.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VENTRA GROUP INC *"	""	"707845"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VENTUS ENERGY LTD *"	""	"708130"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VEOLIA ENVIRONNEMENT-ADR"	"VE"	"711276"	"Common Stock"	"3158000"	"34.830"	"34.840"	"34.800"	"USD"	"n/a"	"FR"	"No"	""	"NYS"	"0.000"	"n/a"	"0"	"Equity"	"05/08/2009"	"1.689"	"n/a"	""
"VERDUN 8.1% 14NV05"	""	"Q81661"	"Municipal & Para-governmental Bonds"	"2601411"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"11/14/2005"	""	"8.100"	"n/a"	"2"	"Bond"	""	"0.000"	"8.10"	"0.000000"
"VERENEX ENERGY INC *"	"VNX"	"708439"	"Common Stock"	"330"	"7.280"	"7.290"	"7.290"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VERIGY LTD"	"VRGY"	"708346"	"Common Stock"	"315"	"11.770"	"11.790"	"11.770"	"USD"	"n/a"	"ZZ"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VERIS BIOTECHNOLOGY CORP*"	"VRBYF"	"708468"	"Common Stock"	"330"	"0.003"	"0.003"	"0.003"	"USD"	"n/a"	"CA"	"No"	""	"XY"	"0.000"	"n/a"	"0"	"Equity"	"06/11/2004"	"0.000"	"n/a"	""
"VERITAS ENGY SVCS EXCH SH"	"VER"	"708450"	"Common Stock"	"330"	"35.190"	"37.140"	"35.190"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VERITAS SOFTWARE CORP *"	"VRTS"	"708445"	"Common Stock"	"315"	"23.670"	"23.570"	"23.600"	"USD"	"n/a"	"US"	"No"	""	"XY"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VERIZON COMMUNICATIONS"	"VZ"	"708462"	"Common Stock"	"315"	"30.680"	"30.690"	"30.680"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"01/06/2010"	"0.475"	"6.19"	""
"VERMILION ENERGY TST T/U"	"VET.UN"	"708504"	"Trust Units"	"3308001"	"32.350"	"32.440"	"32.360"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"12"	"Equity"	"01/27/2010"	"0.190"	"7.05"	""
"VERMILION RES LTD *"	""	"708500"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	"01/22/2003"	"0.000"	"n/a"	""
"VERO ENERGY INC"	"VRO"	"708670"	"Common Stock"	"330"	"6.380"	"6.490"	"6.490"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VERSACOLD CV 6.75%30NV11*"	"ICE.DB.C"	"X35148"	"Convertible Debentures"	"2766000"	"100.000"	"100.000"	"100.000"	"CAD"	"n/a"	"CA"	"No"	"11/30/2011"	"TSE"	"0.000"	"n/a"	"2"	"Bond"	""	"0.000"	"0.00"	"0.000000"
"VERSACOLD INCOME FUND T/*"	"ICE.UN"	"708689"	"Trust Units"	"3308001"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"12"	"Equity"	"07/27/2007"	"0.083"	"n/a"	""
"VESTAS WIND SYSTEMS ADR"	"VWDRY"	"708811"	"Common Stock"	"3308000"	"0.000"	"0.000"	"18.700"	"USD"	"n/a"	"ZZ"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"VIACOM INC CL-A *"	"VIA"	"709103"	"Common Stock"	"315"	"32.530"	"32.940"	"32.760"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"11/28/2005"	"0.070"	"0.00"	""
"VIACOM INC CL-B"	"VIA.B"	"709114"	"Common Stock"	"315"	"29.300"	"29.310"	"29.300"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
